id;registration_month;region;operating_system
id_13954;1.0;America;Mac
id_13956;1.0;America;Windows
id_13988;1.0;ROW;Linux
id_1406;1.0;ROW;Windows
id_14086;1.0;ROW;Windows
id_14157;1.0;ROW;Unknown
id_14180;1.0;EMEA;Unknown
id_14185;1.0;America;Unknown
id_1421;1.0;EMEA;Unknown
id_1423;1.0;ROW;Unknown
id_14270;1.0;ROW;Windows
id_14309;1.0;ROW;Windows
id_14326;1.0;ROW;Unknown
id_14342;1.0;America;Windows
id_14383;1.0;ROW;Unknown
id_14414;1.0;ROW;Windows
id_14448;1.0;ROW;Windows
id_14456;1.0;ROW;Unknown
id_14474;1.0;ROW;Unknown
id_14513;1.0;ROW;Windows
id_14536;1.0;ROW;Windows
id_14549;1.0;EMEA;Unknown
id_14585;1.0;ROW;Unknown
id_14606;1.0;ROW;Unknown
id_14633;1.0;ROW;Windows
id_14637;1.0;ROW;Windows
id_14655;1.0;America;Windows
id_147;1.0;EMEA;Unknown
id_14725;1.0;ROW;Unknown
id_14740;1.0;EMEA;Windows
id_14804;1.0;ROW;Unknown
id_1484;1.0;ROW;Windows
id_14853;1.0;ROW;Windows
id_14880;1.0;America;Windows
id_14884;1.0;ROW;Unknown
id_14959;1.0;America;Windows
id_14969;1.0;ROW;Windows
id_14974;1.0;EMEA;Unknown
id_14978;1.0;America;Windows
id_1502;1.0;America;Mac
id_15099;1.0;America;Unknown
id_151;1.0;EMEA;Windows
id_15117;1.0;EMEA;Unknown
id_15131;1.0;ROW;Windows
id_15132;1.0;America;Windows
id_15154;1.0;ROW;Windows
id_15165;1.0;ROW;Unknown
id_15174;1.0;ROW;Unknown
id_15203;1.0;America;Mac
id_15298;1.0;America;Windows
id_153;1.0;ROW;Windows
id_15326;1.0;America;Windows
id_15360;1.0;ROW;Unknown
id_15408;1.0;EMEA;Windows
id_15447;1.0;ROW;Windows
id_15450;1.0;America;Windows
id_15468;1.0;EMEA;Unknown
id_15477;1.0;ROW;Mac
id_15510;1.0;ROW;Windows
id_15512;1.0;America;Windows
id_15513;1.0;ROW;Windows
id_15530;1.0;ROW;Windows
id_15538;1.0;ROW;Windows
id_15554;1.0;ROW;Unknown
id_15556;1.0;ROW;Windows
id_15568;1.0;America;Windows
id_15617;1.0;ROW;Windows
id_15642;1.0;ROW;Windows
id_15678;1.0;ROW;Unknown
id_15684;1.0;ROW;Unknown
id_1570;1.0;ROW;Windows
id_15717;1.0;ROW;Windows
id_15740;1.0;ROW;Unknown
id_15744;1.0;ROW;Unknown
id_15747;1.0;EMEA;Windows
id_15755;1.0;ROW;Mac
id_15773;1.0;ROW;Unknown
id_15786;1.0;ROW;Windows
id_15793;1.0;America;Linux
id_15888;1.0;ROW;Unknown
id_15908;1.0;ROW;Mac
id_15955;1.0;ROW;Windows
id_16027;1.0;America;Mac
id_16099;1.0;ROW;Windows
id_16149;1.0;ROW;Windows
id_1615;1.0;ROW;Unknown
id_16177;1.0;America;Windows
id_16183;1.0;EMEA;Unknown
id_16257;1.0;ROW;Unknown
id_16261;1.0;EMEA;Mac
id_16269;1.0;ROW;Unknown
id_16287;1.0;ROW;Windows
id_16293;1.0;America;Windows
id_16303;1.0;ROW;Unknown
id_16387;1.0;ROW;Windows
id_16487;1.0;ROW;Windows
id_16587;1.0;America;Windows
id_16601;1.0;EMEA;Windows
id_1662;1.0;America;Windows
id_16636;1.0;America;Mac
id_16710;1.0;ROW;Unknown
id_16757;1.0;ROW;Windows
id_1679;1.0;ROW;Unknown
id_1680;1.0;America;Windows
id_16815;1.0;ROW;Windows
id_16820;1.0;ROW;Windows
id_16852;1.0;America;Windows
id_16874;1.0;America;Mac
id_16881;1.0;America;Windows
id_16882;1.0;America;Unknown
id_16883;1.0;America;Mac
id_16899;1.0;America;Mac
id_16908;1.0;America;Windows
id_16917;1.0;ROW;Windows
id_1697;1.0;ROW;Unknown
id_16970;1.0;EMEA;Windows
id_16983;1.0;America;Windows
id_17036;1.0;ROW;Windows
id_17116;1.0;ROW;Unknown
id_17142;1.0;America;Mac
id_17177;1.0;ROW;Unknown
id_17201;1.0;ROW;Windows
id_17214;1.0;America;Unknown
id_17217;1.0;ROW;Unknown
id_17227;1.0;America;Mac
id_17233;1.0;America;Unknown
id_17241;1.0;America;Unknown
id_17249;1.0;ROW;Windows
id_17255;1.0;EMEA;Windows
id_17278;1.0;ROW;Windows
id_17281;1.0;America;Unknown
id_17298;1.0;America;Unknown
id_17330;1.0;America;Mac
id_17349;1.0;ROW;Windows
id_17355;1.0;America;Mac
id_1736;1.0;ROW;Windows
id_17366;1.0;ROW;Windows
id_17388;1.0;ROW;Windows
id_1740;1.0;ROW;Unknown
id_17407;1.0;ROW;Windows
id_17420;1.0;America;Mac
id_17430;1.0;ROW;Unknown
id_17446;1.0;ROW;Windows
id_17452;1.0;EMEA;Windows
id_17454;1.0;ROW;Unknown
id_17468;1.0;ROW;Unknown
id_1748;1.0;ROW;Unknown
id_17542;1.0;ROW;Windows
id_17547;1.0;ROW;Unknown
id_1757;1.0;America;Mac
id_17572;1.0;ROW;Unknown
id_17628;1.0;EMEA;Windows
id_17632;1.0;America;Windows
id_17670;1.0;ROW;Windows
id_17709;1.0;ROW;Unknown
id_17732;1.0;ROW;Unknown
id_17747;1.0;ROW;Windows
id_17761;1.0;ROW;Windows
id_17797;1.0;ROW;Unknown
id_17808;1.0;EMEA;Unknown
id_17809;1.0;ROW;Unknown
id_17918;1.0;EMEA;Windows
id_17926;1.0;EMEA;Windows
id_17971;1.0;EMEA;Windows
id_17974;1.0;EMEA;Windows
id_18153;1.0;America;Windows
id_18161;1.0;ROW;Unknown
id_18166;1.0;ROW;Unknown
id_1820;1.0;America;Windows
id_18205;1.0;America;Unknown
id_18214;1.0;EMEA;Unknown
id_18288;1.0;ROW;Windows
id_18336;1.0;EMEA;Unknown
id_18344;1.0;ROW;Windows
id_18397;1.0;ROW;Windows
id_18412;1.0;ROW;Unknown
id_18466;1.0;America;Mac
id_18470;1.0;ROW;Windows
id_18505;1.0;ROW;Windows
id_18547;1.0;ROW;Windows
id_18548;1.0;America;Unknown
id_18568;1.0;ROW;Unknown
id_18643;1.0;America;Windows
id_18644;1.0;EMEA;Unknown
id_1868;1.0;America;Unknown
id_18684;1.0;ROW;Windows
id_18685;1.0;ROW;Unknown
id_18698;1.0;ROW;Mac
id_18700;1.0;ROW;Windows
id_1872;1.0;EMEA;Unknown
id_18745;1.0;ROW;Unknown
id_18748;1.0;America;Unknown
id_18765;1.0;ROW;Windows
id_18786;1.0;ROW;Unknown
id_1881;1.0;America;Mac
id_18828;1.0;ROW;Unknown
id_18855;1.0;EMEA;Mac
id_18873;1.0;America;Mac
id_18884;1.0;ROW;Unknown
id_18895;1.0;ROW;Windows
id_18936;1.0;EMEA;Unknown
id_18995;1.0;ROW;Windows
id_19008;1.0;EMEA;Windows
id_1906;1.0;ROW;Unknown
id_19113;1.0;ROW;Unknown
id_19143;1.0;EMEA;Windows
id_19157;1.0;America;Windows
id_19192;1.0;EMEA;Windows
id_19231;1.0;ROW;Unknown
id_19250;1.0;ROW;Unknown
id_19281;1.0;EMEA;Windows
id_19371;1.0;ROW;Windows
id_19425;1.0;ROW;Windows
id_19491;1.0;ROW;Unknown
id_19517;1.0;America;Windows
id_19577;1.0;EMEA;Unknown
id_19585;1.0;America;Windows
id_19587;1.0;America;Windows
id_19602;1.0;America;Mac
id_19606;1.0;America;Windows
id_19630;1.0;EMEA;Windows
id_19670;1.0;ROW;Windows
id_19681;1.0;America;Unknown
id_19702;1.0;ROW;Windows
id_19730;1.0;ROW;Windows
id_19773;1.0;EMEA;Mac
id_19828;1.0;ROW;Unknown
id_19869;1.0;ROW;Unknown
id_19885;1.0;EMEA;Mac
id_19953;1.0;America;Mac
id_20020;1.0;ROW;Linux
id_20073;1.0;ROW;Unknown
id_20084;1.0;America;Unknown
id_20104;1.0;ROW;Unknown
id_20135;1.0;America;Unknown
id_20147;1.0;America;Windows
id_20164;1.0;EMEA;Windows
id_20167;1.0;EMEA;Unknown
id_20211;1.0;EMEA;Linux
id_20285;1.0;EMEA;Unknown
id_20326;1.0;ROW;Unknown
id_20351;1.0;ROW;Unknown
id_20386;1.0;ROW;Unknown
id_20400;1.0;ROW;Windows
id_20483;1.0;ROW;Unknown
id_20499;1.0;EMEA;Windows
id_20504;1.0;ROW;Unknown
id_20558;1.0;ROW;Unknown
id_20624;1.0;EMEA;Mac
id_20638;1.0;ROW;Unknown
id_2068;1.0;America;Windows
id_2070;1.0;EMEA;Windows
id_2075;1.0;ROW;Mac
id_20759;1.0;ROW;Windows
id_20791;1.0;ROW;Windows
id_20826;1.0;ROW;Unknown
id_20857;1.0;ROW;Windows
id_20858;1.0;ROW;Unknown
id_2096;1.0;ROW;Unknown
id_21032;1.0;EMEA;Mac
id_21039;1.0;America;Windows
id_21097;1.0;ROW;Unknown
id_21112;1.0;America;Windows
id_21121;1.0;ROW;Windows
id_21127;1.0;ROW;Unknown
id_21156;1.0;ROW;Unknown
id_21179;1.0;ROW;Unknown
id_21186;1.0;ROW;Unknown
id_21201;1.0;America;Windows
id_21305;1.0;ROW;Unknown
id_21312;1.0;ROW;Unknown
id_21315;1.0;America;Windows
id_21357;1.0;ROW;Windows
id_21386;1.0;ROW;Windows
id_214;1.0;EMEA;Unknown
id_21422;1.0;ROW;Unknown
id_21451;1.0;America;Unknown
id_21463;1.0;ROW;Unknown
id_21472;1.0;ROW;Windows
id_21473;1.0;America;Unknown
id_21496;1.0;America;Mac
id_21500;1.0;America;Windows
id_21512;1.0;America;Windows
id_21544;1.0;EMEA;Mac
id_21567;1.0;America;Unknown
id_21576;1.0;ROW;Windows
id_21578;1.0;America;Windows
id_21592;1.0;EMEA;Unknown
id_21602;1.0;America;Windows
id_21628;1.0;EMEA;Unknown
id_21666;1.0;America;Unknown
id_2168;1.0;America;Unknown
id_21708;1.0;ROW;Unknown
id_21710;1.0;America;Windows
id_21720;1.0;ROW;Unknown
id_21729;1.0;ROW;Unknown
id_21730;1.0;ROW;Unknown
id_21735;1.0;America;Unknown
id_21780;1.0;America;Unknown
id_21786;1.0;ROW;Windows
id_21799;1.0;ROW;Windows
id_21853;1.0;America;Windows
id_21866;1.0;America;Windows
id_21874;1.0;America;Windows
id_21908;1.0;America;Unknown
id_21960;1.0;ROW;Unknown
id_21966;1.0;ROW;Unknown
id_21977;1.0;EMEA;Windows
id_21992;1.0;ROW;Unknown
id_22016;1.0;ROW;Windows
id_22065;1.0;ROW;Windows
id_22143;1.0;ROW;Windows
id_22173;1.0;ROW;Windows
id_2223;1.0;America;Windows
id_22230;1.0;EMEA;Unknown
id_22310;1.0;America;Unknown
id_22335;1.0;ROW;Mac
id_22363;1.0;EMEA;Unknown
id_22368;1.0;ROW;Windows
id_22377;1.0;ROW;Windows
id_22434;1.0;ROW;Unknown
id_22440;1.0;ROW;Windows
id_22451;1.0;America;Windows
id_22459;1.0;ROW;Windows
id_2248;1.0;America;Windows
id_22481;1.0;EMEA;Unknown
id_22494;1.0;ROW;Unknown
id_22543;1.0;America;Mac
id_22561;1.0;ROW;Unknown
id_22611;1.0;ROW;Windows
id_22636;1.0;America;Mac
id_2264;1.0;America;Windows
id_2265;1.0;America;Unknown
id_22676;1.0;ROW;Windows
id_22692;1.0;America;Windows
id_22701;1.0;America;Windows
id_22734;1.0;America;Unknown
id_22784;1.0;America;Unknown
id_22802;1.0;ROW;Windows
id_22803;1.0;America;Unknown
id_22855;1.0;America;Windows
id_22879;1.0;America;Windows
id_22881;1.0;EMEA;Unknown
id_22882;1.0;America;Unknown
id_22885;1.0;America;Unknown
id_22897;1.0;ROW;Unknown
id_22901;1.0;America;Mac
id_22904;1.0;America;Mac
id_22930;1.0;America;Unknown
id_22954;1.0;America;Unknown
id_22957;1.0;America;Unknown
id_22974;1.0;America;Mac
id_23087;1.0;ROW;Unknown
id_23104;1.0;ROW;Unknown
id_23114;1.0;America;Unknown
id_23119;1.0;ROW;Unknown
id_23169;1.0;America;Mac
id_23187;1.0;America;Windows
id_23250;1.0;EMEA;Windows
id_23258;1.0;EMEA;Mac
id_2326;1.0;ROW;Unknown
id_23263;1.0;EMEA;Mac
id_23282;1.0;ROW;Unknown
id_23295;1.0;ROW;Unknown
id_2330;1.0;ROW;Unknown
id_23331;1.0;America;Unknown
id_2335;1.0;ROW;Unknown
id_23353;1.0;ROW;Windows
id_23362;1.0;ROW;Windows
id_23394;1.0;America;Unknown
id_23410;1.0;America;Unknown
id_2343;1.0;ROW;Windows
id_23446;1.0;America;Mac
id_23449;1.0;America;Unknown
id_2349;1.0;America;Unknown
id_23514;1.0;America;Mac
id_23529;1.0;America;Windows
id_2356;1.0;America;Windows
id_23610;1.0;ROW;Windows
id_23712;1.0;America;Windows
id_23716;1.0;EMEA;Windows
id_23750;1.0;EMEA;Windows
id_23752;1.0;ROW;Unknown
id_23781;1.0;America;Windows
id_23830;1.0;EMEA;Windows
id_23891;1.0;America;Windows
id_23922;1.0;America;Unknown
id_23924;1.0;ROW;Windows
id_2394;1.0;America;Unknown
id_23945;1.0;America;Unknown
id_23978;1.0;America;Unknown
id_23979;1.0;ROW;Windows
id_24045;1.0;America;Mac
id_24159;1.0;EMEA;Unknown
id_24178;1.0;EMEA;Unknown
id_24193;1.0;EMEA;Windows
id_24200;1.0;ROW;Mac
id_24205;1.0;EMEA;Windows
id_2421;1.0;EMEA;Mac
id_24230;1.0;EMEA;Unknown
id_24233;1.0;EMEA;Windows
id_2424;1.0;ROW;Unknown
id_24266;1.0;EMEA;Unknown
id_24267;1.0;EMEA;Windows
id_24269;1.0;EMEA;Windows
id_24270;1.0;EMEA;Unknown
id_24271;1.0;EMEA;Windows
id_24272;1.0;EMEA;Windows
id_2431;1.0;ROW;Windows
id_24365;1.0;EMEA;Windows
id_24375;1.0;EMEA;Mac
id_24391;1.0;EMEA;Mac
id_24406;1.0;America;Unknown
id_24417;1.0;America;Unknown
id_24446;1.0;America;Windows
id_24464;1.0;ROW;Windows
id_24473;1.0;EMEA;Mac
id_24506;1.0;ROW;Mac
id_24533;1.0;America;Mac
id_24572;1.0;ROW;Unknown
id_24607;1.0;ROW;Unknown
id_24625;1.0;America;Mac
id_24642;1.0;ROW;Windows
id_2468;1.0;ROW;Unknown
id_24680;1.0;ROW;Windows
id_24682;1.0;EMEA;Windows
id_24700;1.0;EMEA;Windows
id_24710;1.0;EMEA;Unknown
id_24730;1.0;ROW;Windows
id_24735;1.0;ROW;Unknown
id_24774;1.0;America;Windows
id_2480;1.0;ROW;Unknown
id_24812;1.0;ROW;Windows
id_24828;1.0;ROW;Unknown
id_2488;1.0;America;Windows
id_24919;1.0;ROW;Windows
id_24923;1.0;ROW;Windows
id_2497;1.0;America;Windows
id_24994;1.0;America;Windows
id_2506;1.0;ROW;Windows
id_25111;1.0;EMEA;Windows
id_25112;1.0;EMEA;Mac
id_2513;1.0;ROW;Windows
id_25131;1.0;EMEA;Unknown
id_25135;1.0;ROW;Windows
id_25147;1.0;ROW;Windows
id_25207;1.0;ROW;Unknown
id_2523;1.0;EMEA;Unknown
id_25265;1.0;ROW;Windows
id_25277;1.0;ROW;Unknown
id_25401;1.0;EMEA;Mac
id_25405;1.0;EMEA;Windows
id_2547;1.0;America;Windows
id_25471;1.0;ROW;Unknown
id_25478;1.0;EMEA;Windows
id_25511;1.0;America;Mac
id_25555;1.0;America;Windows
id_25566;1.0;ROW;Windows
id_25579;1.0;ROW;Windows
id_25626;1.0;EMEA;Unknown
id_25679;1.0;ROW;Windows
id_25731;1.0;ROW;Unknown
id_25765;1.0;EMEA;Windows
id_25777;1.0;ROW;Mac
id_25792;1.0;America;Mac
id_25820;1.0;EMEA;Windows
id_25828;1.0;EMEA;Unknown
id_25930;1.0;America;Mac
id_25991;1.0;America;Windows
id_26009;1.0;ROW;Unknown
id_26019;1.0;America;Unknown
id_26033;1.0;EMEA;Unknown
id_2606;1.0;America;Unknown
id_26071;1.0;America;Mac
id_26121;1.0;ROW;Unknown
id_26139;1.0;America;Windows
id_26146;1.0;EMEA;Mac
id_26158;1.0;EMEA;Unknown
id_2616;1.0;ROW;Unknown
id_26172;1.0;EMEA;Windows
id_26211;1.0;EMEA;Unknown
id_26213;1.0;EMEA;Linux
id_26215;1.0;EMEA;Unknown
id_26259;1.0;EMEA;Mac
id_26274;1.0;America;Windows
id_26275;1.0;ROW;Windows
id_26294;1.0;EMEA;Unknown
id_26318;1.0;ROW;Unknown
id_26319;1.0;ROW;Unknown
id_26339;1.0;ROW;Unknown
id_26345;1.0;EMEA;Windows
id_26402;1.0;EMEA;Mac
id_26422;1.0;EMEA;Windows
id_26435;1.0;ROW;Windows
id_26437;1.0;ROW;Windows
id_26499;1.0;EMEA;Windows
id_26502;1.0;America;Unknown
id_26512;1.0;ROW;Unknown
id_26528;1.0;America;Mac
id_26532;1.0;EMEA;Unknown
id_26562;1.0;ROW;Unknown
id_26566;1.0;ROW;Unknown
id_26574;1.0;ROW;Windows
id_26576;1.0;ROW;Unknown
id_2659;1.0;America;Mac
id_26597;1.0;ROW;Windows
id_26611;1.0;ROW;Windows
id_2667;1.0;ROW;Mac
id_26678;1.0;ROW;Windows
id_26693;1.0;ROW;Unknown
id_26720;1.0;EMEA;Windows
id_26734;1.0;America;Unknown
id_26764;1.0;ROW;Unknown
id_26766;1.0;ROW;Unknown
id_26786;1.0;ROW;Windows
id_26804;1.0;ROW;Windows
id_26828;1.0;America;Unknown
id_26830;1.0;ROW;Unknown
id_26838;1.0;ROW;Unknown
id_26870;1.0;ROW;Unknown
id_26874;1.0;ROW;Windows
id_26893;1.0;ROW;Unknown
id_26914;1.0;ROW;Unknown
id_26954;1.0;ROW;Unknown
id_26956;1.0;ROW;Windows
id_2701;1.0;EMEA;Unknown
id_27011;1.0;ROW;Unknown
id_27042;1.0;ROW;Unknown
id_2710;1.0;America;Unknown
id_27142;1.0;ROW;Windows
id_2715;1.0;America;Unknown
id_27179;1.0;ROW;Windows
id_27186;1.0;EMEA;Mac
id_27232;1.0;ROW;Unknown
id_27235;1.0;ROW;Windows
id_27265;1.0;America;Mac
id_27294;1.0;ROW;Unknown
id_27318;1.0;ROW;Windows
id_27329;1.0;ROW;Windows
id_27343;1.0;ROW;Windows
id_27373;1.0;EMEA;Unknown
id_27421;1.0;ROW;Unknown
id_27425;1.0;ROW;Mac
id_27432;1.0;ROW;Windows
id_27433;1.0;ROW;Unknown
id_27434;1.0;ROW;Unknown
id_2746;1.0;America;Windows
id_27478;1.0;ROW;Unknown
id_27502;1.0;America;Unknown
id_2754;1.0;ROW;Windows
id_2756;1.0;ROW;Unknown
id_2759;1.0;ROW;Windows
id_27599;1.0;America;Windows
id_27601;1.0;ROW;Unknown
id_27607;1.0;ROW;Unknown
id_27611;1.0;ROW;Windows
id_27613;1.0;ROW;Windows
id_27619;1.0;America;Windows
id_27655;1.0;ROW;Unknown
id_277;1.0;ROW;Unknown
id_27706;1.0;ROW;Unknown
id_27708;1.0;ROW;Windows
id_27711;1.0;ROW;Windows
id_27775;1.0;ROW;Windows
id_27853;1.0;America;Mac
id_27977;1.0;ROW;Windows
id_2807;1.0;America;Windows
id_28073;1.0;America;Windows
id_28092;1.0;ROW;Mac
id_281;1.0;EMEA;Windows
id_28124;1.0;ROW;Unknown
id_28149;1.0;America;Mac
id_28179;1.0;America;Windows
id_28183;1.0;ROW;Unknown
id_28185;1.0;ROW;Windows
id_28193;1.0;ROW;Unknown
id_28217;1.0;ROW;Windows
id_28223;1.0;ROW;Unknown
id_28235;1.0;ROW;Unknown
id_28329;1.0;America;Windows
id_28339;1.0;ROW;Windows
id_28381;1.0;ROW;Unknown
id_28384;1.0;America;Mac
id_28397;1.0;ROW;Unknown
id_28403;1.0;America;Windows
id_28409;1.0;EMEA;Unknown
id_28418;1.0;America;Mac
id_28419;1.0;America;Windows
id_28449;1.0;EMEA;Unknown
id_28468;1.0;America;Windows
id_28474;1.0;ROW;Windows
id_28476;1.0;America;Unknown
id_28499;1.0;EMEA;Windows
id_28532;1.0;EMEA;Windows
id_2854;1.0;America;Mac
id_28577;1.0;EMEA;Windows
id_28664;1.0;ROW;Windows
id_28700;1.0;EMEA;Mac
id_28706;1.0;ROW;Windows
id_28720;1.0;EMEA;Unknown
id_28751;1.0;EMEA;Windows
id_28778;1.0;EMEA;Windows
id_28781;1.0;EMEA;Windows
id_28800;1.0;EMEA;Unknown
id_28809;1.0;America;Mac
id_28822;1.0;EMEA;Mac
id_28829;1.0;EMEA;Unknown
id_28833;1.0;EMEA;Mac
id_28845;1.0;America;Unknown
id_28853;1.0;EMEA;Windows
id_28859;1.0;EMEA;Unknown
id_28864;1.0;EMEA;Mac
id_28890;1.0;America;Windows
id_28916;1.0;ROW;Unknown
id_28956;1.0;America;Windows
id_2896;1.0;ROW;Unknown
id_28978;1.0;America;Windows
id_28986;1.0;America;Windows
id_28987;1.0;ROW;Unknown
id_29008;1.0;ROW;Unknown
id_29011;1.0;America;Mac
id_29018;1.0;ROW;Unknown
id_29058;1.0;America;Unknown
id_29074;1.0;ROW;Unknown
id_29077;1.0;America;Windows
id_2908;1.0;ROW;Windows
id_29090;1.0;ROW;Windows
id_29091;1.0;ROW;Unknown
id_29095;1.0;ROW;Unknown
id_29126;1.0;ROW;Windows
id_29128;1.0;ROW;Windows
id_29142;1.0;America;Mac
id_29155;1.0;EMEA;Windows
id_29159;1.0;ROW;Unknown
id_29172;1.0;ROW;Windows
id_29219;1.0;America;Mac
id_2924;1.0;ROW;Mac
id_29253;1.0;ROW;Windows
id_29257;1.0;ROW;Windows
id_29312;1.0;America;Mac
id_29327;1.0;America;Windows
id_29398;1.0;ROW;Unknown
id_29415;1.0;America;Windows
id_29449;1.0;ROW;Unknown
id_29457;1.0;America;Windows
id_29473;1.0;America;Mac
id_29512;1.0;America;Windows
id_29590;1.0;EMEA;Windows
id_29613;1.0;EMEA;Windows
id_29662;1.0;EMEA;Linux
id_29666;1.0;ROW;Windows
id_29668;1.0;EMEA;Windows
id_29673;1.0;EMEA;Linux
id_29719;1.0;EMEA;Windows
id_29762;1.0;America;Unknown
id_29817;1.0;America;Windows
id_29845;1.0;America;Mac
id_29868;1.0;America;Windows
id_29877;1.0;America;Unknown
id_29879;1.0;America;Unknown
id_29971;1.0;ROW;Windows
id_29984;1.0;America;Unknown
id_29988;1.0;America;Windows
id_30052;1.0;America;Windows
id_30091;1.0;America;Windows
id_30102;1.0;ROW;Windows
id_30151;1.0;ROW;Unknown
id_30169;1.0;America;Mac
id_30171;1.0;EMEA;Windows
id_30217;1.0;EMEA;Unknown
id_3030;1.0;ROW;Unknown
id_30303;1.0;ROW;Unknown
id_30338;1.0;ROW;Unknown
id_3034;1.0;America;Windows
id_30345;1.0;ROW;Windows
id_30349;1.0;ROW;Unknown
id_30360;1.0;ROW;Windows
