id;activity_month;registration_month;region;operating_system
id_3691;1.0;1.0;ROW;Unknown
id_3720;1.0;1.0;ROW;Windows
id_3786;1.0;1.0;ROW;Unknown
id_3794;1.0;1.0;ROW;Windows
id_3795;1.0;1.0;ROW;Windows
id_3906;1.0;1.0;America;Windows
id_3925;1.0;1.0;ROW;Windows
id_3963;1.0;1.0;ROW;Windows
id_4088;1.0;1.0;ROW;Windows
id_4098;1.0;1.0;America;Windows
id_4116;1.0;1.0;America;Mac
id_4126;1.0;1.0;EMEA;Unknown
id_4180;1.0;1.0;America;Windows
id_4201;1.0;1.0;ROW;Unknown
id_4221;1.0;1.0;ROW;Windows
id_4247;1.0;1.0;ROW;Unknown
id_4269;1.0;1.0;America;Windows
id_4331;1.0;1.0;ROW;Unknown
id_4378;1.0;1.0;ROW;Windows
id_4401;1.0;1.0;ROW;Mac
id_4404;1.0;1.0;ROW;Windows
id_4467;1.0;1.0;America;Windows
id_4473;1.0;1.0;ROW;Windows
id_4497;1.0;1.0;ROW;Unknown
id_4502;1.0;1.0;ROW;Unknown
id_4530;1.0;1.0;America;Windows
id_4602;1.0;1.0;ROW;Windows
id_4624;1.0;1.0;ROW;Windows
id_4630;1.0;1.0;EMEA;Unknown
id_4663;1.0;1.0;ROW;Unknown
id_4720;1.0;1.0;ROW;Unknown
id_4751;1.0;1.0;ROW;Windows
id_4752;1.0;1.0;America;Windows
id_4767;1.0;1.0;ROW;Windows
id_4788;1.0;1.0;America;Unknown
id_4828;1.0;1.0;ROW;Unknown
id_4846;1.0;1.0;ROW;Unknown
id_4860;1.0;1.0;ROW;Windows
id_4894;1.0;1.0;ROW;Unknown
id_4950;1.0;1.0;America;Windows
id_4996;1.0;1.0;ROW;Windows
id_5016;1.0;1.0;America;Unknown
id_5033;1.0;1.0;ROW;Unknown
id_5062;1.0;1.0;America;Mac
id_5063;1.0;1.0;America;Mac
id_5108;1.0;1.0;ROW;Unknown
id_5117;1.0;1.0;ROW;Unknown
id_5124;1.0;1.0;ROW;Unknown
id_5134;1.0;1.0;ROW;Windows
id_5343;1.0;1.0;America;Windows
id_5348;1.0;1.0;ROW;Unknown
id_5362;1.0;1.0;ROW;Unknown
id_5393;1.0;1.0;America;Mac
id_5410;1.0;1.0;ROW;Unknown
id_5487;1.0;1.0;America;Unknown
id_5498;1.0;1.0;America;Windows
id_5507;1.0;1.0;America;Windows
id_5551;1.0;1.0;ROW;Windows
id_5621;1.0;1.0;America;Mac
id_5662;1.0;1.0;America;Windows
id_5666;1.0;1.0;ROW;Unknown
id_5769;1.0;1.0;America;Windows
id_5785;1.0;1.0;ROW;Windows
id_5957;1.0;1.0;America;Unknown
id_5976;1.0;1.0;ROW;Unknown
id_5997;1.0;1.0;America;Windows
id_5999;1.0;1.0;America;Mac
id_6020;1.0;1.0;ROW;Windows
id_6053;1.0;1.0;ROW;Unknown
id_6188;1.0;1.0;America;Unknown
id_6266;1.0;1.0;ROW;Windows
id_6339;1.0;1.0;ROW;Unknown
id_6348;1.0;1.0;ROW;Windows
id_6417;1.0;1.0;ROW;Unknown
id_6423;1.0;1.0;ROW;Unknown
id_6437;1.0;1.0;America;Windows
id_6447;1.0;1.0;ROW;Unknown
id_6456;1.0;1.0;EMEA;Unknown
id_6477;1.0;1.0;EMEA;Unknown
id_6482;1.0;1.0;America;Mac
id_6484;1.0;1.0;EMEA;Windows
id_6548;1.0;1.0;EMEA;Windows
id_6601;1.0;1.0;EMEA;Windows
id_6603;1.0;1.0;ROW;Unknown
id_6666;1.0;1.0;EMEA;Windows
id_6707;1.0;1.0;EMEA;Windows
id_6710;1.0;1.0;ROW;Linux
id_6715;1.0;1.0;EMEA;Unknown
id_6718;1.0;1.0;ROW;Windows
id_6744;1.0;1.0;ROW;Windows
id_6793;1.0;1.0;ROW;Windows
id_6814;1.0;1.0;EMEA;Unknown
id_6900;1.0;1.0;ROW;Windows
id_6917;1.0;1.0;ROW;Windows
id_6948;1.0;1.0;ROW;Windows
id_6970;1.0;1.0;ROW;Unknown
id_6985;1.0;1.0;ROW;Unknown
id_7046;1.0;1.0;EMEA;Unknown
id_7050;1.0;1.0;EMEA;Unknown
id_7070;1.0;1.0;ROW;Windows
id_7071;1.0;1.0;EMEA;Windows
id_7193;1.0;1.0;ROW;Windows
id_7287;1.0;1.0;EMEA;Windows
id_7311;1.0;1.0;EMEA;Mac
id_7382;1.0;1.0;EMEA;Windows
id_7449;1.0;1.0;EMEA;Windows
id_7456;1.0;1.0;ROW;Windows
id_7495;1.0;1.0;America;Windows
id_7594;1.0;1.0;ROW;Windows
id_7595;1.0;1.0;ROW;Windows
id_7607;1.0;1.0;America;Unknown
id_7667;1.0;1.0;America;Unknown
id_7763;1.0;1.0;ROW;Windows
id_7768;1.0;1.0;EMEA;Mac
id_7879;1.0;1.0;America;Windows
id_7966;1.0;1.0;ROW;Unknown
id_8068;1.0;1.0;America;Unknown
id_8197;1.0;1.0;America;Windows
id_8206;1.0;1.0;ROW;Unknown
id_8343;1.0;1.0;America;Windows
id_8362;1.0;1.0;America;Windows
id_8372;1.0;1.0;EMEA;Unknown
id_8392;1.0;1.0;ROW;Unknown
id_8460;1.0;1.0;ROW;Windows
id_8471;1.0;1.0;America;Unknown
id_8529;1.0;1.0;ROW;Windows
id_8547;1.0;1.0;ROW;Windows
id_8576;1.0;1.0;EMEA;Windows
id_8585;1.0;1.0;America;Unknown
id_8601;1.0;1.0;ROW;Windows
id_8651;1.0;1.0;EMEA;Windows
id_8689;1.0;1.0;EMEA;Mac
id_8690;1.0;1.0;EMEA;Unknown
id_8691;1.0;1.0;EMEA;Unknown
id_8692;1.0;1.0;EMEA;Unknown
id_8696;1.0;1.0;EMEA;Mac
id_8797;1.0;1.0;ROW;Windows
id_8855;1.0;1.0;EMEA;Windows
id_8906;1.0;1.0;America;Mac
id_8954;1.0;1.0;ROW;Unknown
id_8964;1.0;1.0;ROW;Unknown
id_9029;1.0;1.0;America;Unknown
id_9133;1.0;1.0;ROW;Windows
id_9164;1.0;1.0;ROW;Unknown
id_9204;1.0;1.0;ROW;Unknown
id_9237;1.0;1.0;ROW;Windows
id_9251;1.0;1.0;ROW;Windows
id_9267;1.0;1.0;ROW;Unknown
id_9274;1.0;1.0;ROW;Windows
id_9286;1.0;1.0;ROW;Windows
id_9288;1.0;1.0;ROW;Windows
id_9297;1.0;1.0;America;Mac
id_9299;1.0;1.0;America;Windows
id_9321;1.0;1.0;ROW;Unknown
id_9348;1.0;1.0;EMEA;Windows
id_9373;1.0;1.0;America;Windows
id_9424;1.0;1.0;ROW;Windows
id_9508;1.0;1.0;ROW;Unknown
id_9540;1.0;1.0;America;Windows
id_9664;1.0;1.0;ROW;Windows
id_9726;1.0;1.0;ROW;Windows
id_9738;1.0;1.0;America;Mac
id_9833;1.0;1.0;ROW;Unknown
id_9856;1.0;1.0;ROW;Windows
id_9946;1.0;1.0;America;Mac
id_9959;1.0;1.0;America;Windows
id_9981;1.0;1.0;EMEA;Windows
id_10033;1.0;1.0;EMEA;Windows
id_10080;1.0;1.0;ROW;Unknown
id_10142;1.0;1.0;ROW;Windows
id_10198;1.0;1.0;ROW;Unknown
id_10240;1.0;1.0;ROW;Unknown
id_10312;1.0;1.0;ROW;Unknown
id_10337;1.0;1.0;ROW;Unknown
id_10412;1.0;1.0;ROW;Windows
id_10443;1.0;1.0;EMEA;Mac
id_10507;1.0;1.0;ROW;Windows
id_10537;1.0;1.0;ROW;Windows
id_10625;1.0;1.0;EMEA;Unknown
id_10668;1.0;1.0;EMEA;Unknown
id_10705;1.0;1.0;EMEA;Windows
id_10819;1.0;1.0;EMEA;Windows
id_10862;1.0;1.0;EMEA;Unknown
id_10881;1.0;1.0;EMEA;Mac
id_10950;1.0;1.0;ROW;Unknown
id_10951;1.0;1.0;ROW;Unknown
id_10961;1.0;1.0;EMEA;Windows
id_10968;1.0;1.0;ROW;Mac
id_11011;1.0;1.0;ROW;Unknown
id_11066;1.0;1.0;ROW;Unknown
id_11088;1.0;1.0;ROW;Windows
id_11193;1.0;1.0;ROW;Unknown
id_11241;1.0;1.0;America;Unknown
id_11272;1.0;1.0;ROW;Windows
id_11277;1.0;1.0;EMEA;Windows
id_11319;1.0;1.0;America;Windows
id_11340;1.0;1.0;ROW;Windows
id_11394;1.0;1.0;ROW;Windows
id_11404;1.0;1.0;America;Windows
id_11443;1.0;1.0;America;Windows
id_11502;1.0;1.0;ROW;Windows
id_11583;1.0;1.0;ROW;Unknown
id_11654;1.0;1.0;ROW;Unknown
id_11694;1.0;1.0;ROW;Windows
id_11709;1.0;1.0;ROW;Windows
id_11713;1.0;1.0;ROW;Windows
id_11726;1.0;1.0;ROW;Windows
id_11727;1.0;1.0;ROW;Windows
id_11916;1.0;1.0;ROW;Unknown
id_11979;1.0;1.0;America;Windows
id_11985;1.0;1.0;ROW;Unknown
id_12020;1.0;1.0;America;Unknown
id_12104;1.0;1.0;ROW;Windows
id_12109;1.0;1.0;ROW;Windows
id_12110;1.0;1.0;ROW;Linux
id_12165;1.0;1.0;America;Mac
id_12197;1.0;1.0;ROW;Unknown
id_12225;1.0;1.0;ROW;Unknown
id_12240;1.0;1.0;ROW;Unknown
id_12243;1.0;1.0;ROW;Unknown
id_12302;1.0;1.0;EMEA;Windows
id_12324;1.0;1.0;ROW;Windows
id_12353;1.0;1.0;America;Windows
id_12374;1.0;1.0;America;Mac
id_12389;1.0;1.0;EMEA;Mac
id_12453;1.0;1.0;ROW;Windows
id_12495;1.0;1.0;EMEA;Unknown
id_12547;1.0;1.0;America;Unknown
id_12623;1.0;1.0;ROW;Windows
id_12638;1.0;1.0;ROW;Windows
id_12714;1.0;1.0;ROW;Windows
id_12728;1.0;1.0;ROW;Unknown
id_12739;1.0;1.0;ROW;Unknown
id_12749;1.0;1.0;ROW;Windows
id_12753;1.0;1.0;America;Mac
id_12766;1.0;1.0;ROW;Windows
id_12767;1.0;1.0;ROW;Windows
id_12834;1.0;1.0;ROW;Windows
id_12846;1.0;1.0;ROW;Windows
id_12873;1.0;1.0;EMEA;Windows
id_12996;1.0;1.0;ROW;Unknown
id_13002;1.0;1.0;EMEA;Windows
id_13057;1.0;1.0;ROW;Windows
id_13075;1.0;1.0;EMEA;Unknown
id_13123;1.0;1.0;ROW;Unknown
id_13244;1.0;1.0;ROW;Windows
id_13278;1.0;1.0;EMEA;Mac
id_13297;1.0;1.0;ROW;Windows
id_13379;1.0;1.0;ROW;Windows
id_13436;1.0;1.0;ROW;Unknown
id_13517;1.0;1.0;America;Windows
id_13540;1.0;1.0;ROW;Windows
id_13565;1.0;1.0;America;Windows
id_13598;1.0;1.0;ROW;Unknown
id_13717;1.0;1.0;ROW;Windows
id_13750;1.0;1.0;America;Mac
id_13776;1.0;1.0;ROW;Windows
id_13814;1.0;1.0;ROW;Windows
id_13817;1.0;1.0;ROW;Unknown
id_13824;1.0;1.0;ROW;Windows
id_13860;1.0;1.0;ROW;Windows
id_13931;1.0;1.0;America;Windows
id_13956;1.0;1.0;America;Windows
id_13988;1.0;1.0;ROW;Linux
id_14086;1.0;1.0;ROW;Windows
id_14157;1.0;1.0;ROW;Unknown
id_14180;1.0;1.0;EMEA;Unknown
id_14185;1.0;1.0;America;Unknown
id_14270;1.0;1.0;ROW;Windows
id_14309;1.0;1.0;ROW;Windows
id_14326;1.0;1.0;ROW;Unknown
id_14342;1.0;1.0;America;Windows
id_14383;1.0;1.0;ROW;Unknown
id_14414;1.0;1.0;ROW;Windows
id_14448;1.0;1.0;ROW;Windows
id_14456;1.0;1.0;ROW;Unknown
id_14474;1.0;1.0;ROW;Unknown
id_14513;1.0;1.0;ROW;Windows
id_14536;1.0;1.0;ROW;Windows
id_14549;1.0;1.0;EMEA;Unknown
id_14606;1.0;1.0;ROW;Unknown
id_14633;1.0;1.0;ROW;Windows
id_14637;1.0;1.0;ROW;Windows
id_14740;1.0;1.0;EMEA;Windows
id_14804;1.0;1.0;ROW;Unknown
id_14853;1.0;1.0;ROW;Windows
id_14959;1.0;1.0;America;Windows
id_14969;1.0;1.0;ROW;Windows
id_14974;1.0;1.0;EMEA;Unknown
id_15117;1.0;1.0;EMEA;Unknown
id_15131;1.0;1.0;ROW;Windows
id_15132;1.0;1.0;America;Windows
id_15165;1.0;1.0;ROW;Unknown
id_15174;1.0;1.0;ROW;Unknown
id_15203;1.0;1.0;America;Mac
id_15298;1.0;1.0;America;Windows
id_15326;1.0;1.0;America;Windows
id_15360;1.0;1.0;ROW;Unknown
id_15408;1.0;1.0;EMEA;Windows
id_15450;1.0;1.0;America;Windows
id_15510;1.0;1.0;ROW;Windows
id_15512;1.0;1.0;America;Windows
id_15513;1.0;1.0;ROW;Windows
id_15554;1.0;1.0;ROW;Unknown
id_15568;1.0;1.0;America;Windows
id_15617;1.0;1.0;ROW;Windows
id_15678;1.0;1.0;ROW;Unknown
id_15717;1.0;1.0;ROW;Windows
id_15740;1.0;1.0;ROW;Unknown
id_15755;1.0;1.0;ROW;Mac
id_15773;1.0;1.0;ROW;Unknown
id_15786;1.0;1.0;ROW;Windows
id_15793;1.0;1.0;America;Linux
id_15888;1.0;1.0;ROW;Unknown
id_15908;1.0;1.0;ROW;Mac
id_15955;1.0;1.0;ROW;Windows
id_16027;1.0;1.0;America;Mac
id_16099;1.0;1.0;ROW;Windows
id_16149;1.0;1.0;ROW;Windows
id_16261;1.0;1.0;EMEA;Mac
id_16269;1.0;1.0;ROW;Unknown
id_16287;1.0;1.0;ROW;Windows
id_16303;1.0;1.0;ROW;Unknown
id_16387;1.0;1.0;ROW;Windows
id_16487;1.0;1.0;ROW;Windows
id_16587;1.0;1.0;America;Windows
id_16601;1.0;1.0;EMEA;Windows
id_16636;1.0;1.0;America;Mac
id_16815;1.0;1.0;ROW;Windows
id_16820;1.0;1.0;ROW;Windows
id_16852;1.0;1.0;America;Windows
id_16874;1.0;1.0;America;Mac
id_16881;1.0;1.0;America;Windows
id_16883;1.0;1.0;America;Mac
id_16899;1.0;1.0;America;Mac
id_16908;1.0;1.0;America;Windows
id_16917;1.0;1.0;ROW;Windows
id_16983;1.0;1.0;America;Windows
id_17036;1.0;1.0;ROW;Windows
id_17116;1.0;1.0;ROW;Unknown
id_17177;1.0;1.0;ROW;Unknown
id_17201;1.0;1.0;ROW;Windows
id_17227;1.0;1.0;America;Mac
id_17249;1.0;1.0;ROW;Windows
id_17278;1.0;1.0;ROW;Windows
id_17281;1.0;1.0;America;Unknown
id_17298;1.0;1.0;America;Unknown
id_17349;1.0;1.0;ROW;Windows
id_17355;1.0;1.0;America;Mac
id_17388;1.0;1.0;ROW;Windows
id_17407;1.0;1.0;ROW;Windows
id_17420;1.0;1.0;America;Mac
id_17430;1.0;1.0;ROW;Unknown
id_17452;1.0;1.0;EMEA;Windows
id_17454;1.0;1.0;ROW;Unknown
id_17468;1.0;1.0;ROW;Unknown
id_17542;1.0;1.0;ROW;Windows
id_17547;1.0;1.0;ROW;Unknown
id_17632;1.0;1.0;America;Windows
id_17670;1.0;1.0;ROW;Windows
id_17709;1.0;1.0;ROW;Unknown
id_17747;1.0;1.0;ROW;Windows
id_17761;1.0;1.0;ROW;Windows
id_17797;1.0;1.0;ROW;Unknown
id_17808;1.0;1.0;EMEA;Unknown
id_17809;1.0;1.0;ROW;Unknown
id_17918;1.0;1.0;EMEA;Windows
id_17926;1.0;1.0;EMEA;Windows
id_17971;1.0;1.0;EMEA;Windows
id_17974;1.0;1.0;EMEA;Windows
id_18153;1.0;1.0;America;Windows
id_18161;1.0;1.0;ROW;Unknown
id_18166;1.0;1.0;ROW;Unknown
id_18205;1.0;1.0;America;Unknown
id_18214;1.0;1.0;EMEA;Unknown
id_18288;1.0;1.0;ROW;Windows
id_18336;1.0;1.0;EMEA;Unknown
id_18344;1.0;1.0;ROW;Windows
id_18397;1.0;1.0;ROW;Windows
id_18547;1.0;1.0;ROW;Windows
id_18548;1.0;1.0;America;Unknown
id_18568;1.0;1.0;ROW;Unknown
id_18644;1.0;1.0;EMEA;Unknown
id_18685;1.0;1.0;ROW;Unknown
id_18698;1.0;1.0;ROW;Mac
id_18765;1.0;1.0;ROW;Windows
id_18786;1.0;1.0;ROW;Unknown
id_18828;1.0;1.0;ROW;Unknown
id_18873;1.0;1.0;America;Mac
id_18895;1.0;1.0;ROW;Windows
id_18936;1.0;1.0;EMEA;Unknown
id_18995;1.0;1.0;ROW;Windows
id_19008;1.0;1.0;EMEA;Windows
id_19113;1.0;1.0;ROW;Unknown
id_19143;1.0;1.0;EMEA;Windows
id_19157;1.0;1.0;America;Windows
id_19192;1.0;1.0;EMEA;Windows
id_19231;1.0;1.0;ROW;Unknown
id_19250;1.0;1.0;ROW;Unknown
id_19281;1.0;1.0;EMEA;Windows
id_19371;1.0;1.0;ROW;Windows
id_19425;1.0;1.0;ROW;Windows
id_19491;1.0;1.0;ROW;Unknown
id_19517;1.0;1.0;America;Windows
id_19577;1.0;1.0;EMEA;Unknown
id_19585;1.0;1.0;America;Windows
id_19587;1.0;1.0;America;Windows
id_19602;1.0;1.0;America;Mac
id_19606;1.0;1.0;America;Windows
id_19630;1.0;1.0;EMEA;Windows
id_19681;1.0;1.0;America;Unknown
id_19702;1.0;1.0;ROW;Windows
id_19730;1.0;1.0;ROW;Windows
id_19828;1.0;1.0;ROW;Unknown
id_19885;1.0;1.0;EMEA;Mac
id_20020;1.0;1.0;ROW;Linux
id_20073;1.0;1.0;ROW;Unknown
id_20084;1.0;1.0;America;Unknown
id_20104;1.0;1.0;ROW;Unknown
id_20135;1.0;1.0;America;Unknown
id_20147;1.0;1.0;America;Windows
id_20164;1.0;1.0;EMEA;Windows
id_20211;1.0;1.0;EMEA;Linux
id_20326;1.0;1.0;ROW;Unknown
id_20386;1.0;1.0;ROW;Unknown
id_20400;1.0;1.0;ROW;Windows
id_20483;1.0;1.0;ROW;Unknown
id_20499;1.0;1.0;EMEA;Windows
id_20504;1.0;1.0;ROW;Unknown
id_20558;1.0;1.0;ROW;Unknown
id_20624;1.0;1.0;EMEA;Mac
id_20638;1.0;1.0;ROW;Unknown
id_20759;1.0;1.0;ROW;Windows
id_20791;1.0;1.0;ROW;Windows
id_20826;1.0;1.0;ROW;Unknown
id_20857;1.0;1.0;ROW;Windows
id_20858;1.0;1.0;ROW;Unknown
id_21039;1.0;1.0;America;Windows
id_21097;1.0;1.0;ROW;Unknown
id_21112;1.0;1.0;America;Windows
id_21121;1.0;1.0;ROW;Windows
id_21156;1.0;1.0;ROW;Unknown
id_21186;1.0;1.0;ROW;Unknown
id_21312;1.0;1.0;ROW;Unknown
id_21315;1.0;1.0;America;Windows
id_21386;1.0;1.0;ROW;Windows
id_21422;1.0;1.0;ROW;Unknown
id_21451;1.0;1.0;America;Unknown
id_21472;1.0;1.0;ROW;Windows
id_21473;1.0;1.0;America;Unknown
id_21496;1.0;1.0;America;Mac
id_21544;1.0;1.0;EMEA;Mac
id_21567;1.0;1.0;America;Unknown
id_21578;1.0;1.0;America;Windows
id_21592;1.0;1.0;EMEA;Unknown
id_21602;1.0;1.0;America;Windows
id_21666;1.0;1.0;America;Unknown
id_21708;1.0;1.0;ROW;Unknown
id_21710;1.0;1.0;America;Windows
id_21720;1.0;1.0;ROW;Unknown
id_21729;1.0;1.0;ROW;Unknown
id_21730;1.0;1.0;ROW;Unknown
id_21735;1.0;1.0;America;Unknown
id_21780;1.0;1.0;America;Unknown
id_21853;1.0;1.0;America;Windows
id_21866;1.0;1.0;America;Windows
id_21874;1.0;1.0;America;Windows
id_21908;1.0;1.0;America;Unknown
id_21960;1.0;1.0;ROW;Unknown
id_21966;1.0;1.0;ROW;Unknown
id_21977;1.0;1.0;EMEA;Windows
id_22065;1.0;1.0;ROW;Windows
id_22143;1.0;1.0;ROW;Windows
id_22173;1.0;1.0;ROW;Windows
id_22310;1.0;1.0;America;Unknown
id_22335;1.0;1.0;ROW;Mac
id_22368;1.0;1.0;ROW;Windows
id_22434;1.0;1.0;ROW;Unknown
id_22440;1.0;1.0;ROW;Windows
id_22451;1.0;1.0;America;Windows
id_22459;1.0;1.0;ROW;Windows
id_22494;1.0;1.0;ROW;Unknown
id_22543;1.0;1.0;America;Mac
id_22561;1.0;1.0;ROW;Unknown
id_22611;1.0;1.0;ROW;Windows
id_22676;1.0;1.0;ROW;Windows
id_22692;1.0;1.0;America;Windows
id_22784;1.0;1.0;America;Unknown
id_22803;1.0;1.0;America;Unknown
id_22855;1.0;1.0;America;Windows
id_22879;1.0;1.0;America;Windows
id_22881;1.0;1.0;EMEA;Unknown
id_22885;1.0;1.0;America;Unknown
id_22897;1.0;1.0;ROW;Unknown
id_22904;1.0;1.0;America;Mac
id_22930;1.0;1.0;America;Unknown
id_22954;1.0;1.0;America;Unknown
id_22974;1.0;1.0;America;Mac
id_23087;1.0;1.0;ROW;Unknown
id_23104;1.0;1.0;ROW;Unknown
id_23119;1.0;1.0;ROW;Unknown
id_23169;1.0;1.0;America;Mac
id_23187;1.0;1.0;America;Windows
id_23250;1.0;1.0;EMEA;Windows
id_23258;1.0;1.0;EMEA;Mac
id_23282;1.0;1.0;ROW;Unknown
id_23295;1.0;1.0;ROW;Unknown
id_23331;1.0;1.0;America;Unknown
id_23353;1.0;1.0;ROW;Windows
id_23394;1.0;1.0;America;Unknown
id_23410;1.0;1.0;America;Unknown
id_23446;1.0;1.0;America;Mac
id_23449;1.0;1.0;America;Unknown
id_23514;1.0;1.0;America;Mac
id_23529;1.0;1.0;America;Windows
id_23610;1.0;1.0;ROW;Windows
id_23712;1.0;1.0;America;Windows
id_23750;1.0;1.0;EMEA;Windows
id_23752;1.0;1.0;ROW;Unknown
id_23781;1.0;1.0;America;Windows
id_23830;1.0;1.0;EMEA;Windows
id_23924;1.0;1.0;ROW;Windows
id_23945;1.0;1.0;America;Unknown
id_23978;1.0;1.0;America;Unknown
id_23979;1.0;1.0;ROW;Windows
id_24045;1.0;1.0;America;Mac
id_24159;1.0;1.0;EMEA;Unknown
id_24178;1.0;1.0;EMEA;Unknown
id_24193;1.0;1.0;EMEA;Windows
id_24200;1.0;1.0;ROW;Mac
id_24205;1.0;1.0;EMEA;Windows
id_24233;1.0;1.0;EMEA;Windows
id_24267;1.0;1.0;EMEA;Windows
id_24271;1.0;1.0;EMEA;Windows
id_24272;1.0;1.0;EMEA;Windows
id_24365;1.0;1.0;EMEA;Windows
id_24391;1.0;1.0;EMEA;Mac
id_24406;1.0;1.0;America;Unknown
id_24446;1.0;1.0;America;Windows
id_24464;1.0;1.0;ROW;Windows
id_24473;1.0;1.0;EMEA;Mac
id_24506;1.0;1.0;ROW;Mac
id_24533;1.0;1.0;America;Mac
id_24572;1.0;1.0;ROW;Unknown
id_24607;1.0;1.0;ROW;Unknown
id_24625;1.0;1.0;America;Mac
id_24642;1.0;1.0;ROW;Windows
id_24680;1.0;1.0;ROW;Windows
id_24682;1.0;1.0;EMEA;Windows
id_24700;1.0;1.0;EMEA;Windows
id_24710;1.0;1.0;EMEA;Unknown
id_24730;1.0;1.0;ROW;Windows
id_24735;1.0;1.0;ROW;Unknown
id_24774;1.0;1.0;America;Windows
id_24828;1.0;1.0;ROW;Unknown
id_24994;1.0;1.0;America;Windows
id_25111;1.0;1.0;EMEA;Windows
id_25131;1.0;1.0;EMEA;Unknown
id_25147;1.0;1.0;ROW;Windows
id_25207;1.0;1.0;ROW;Unknown
id_25265;1.0;1.0;ROW;Windows
id_25277;1.0;1.0;ROW;Unknown
id_25401;1.0;1.0;EMEA;Mac
id_25478;1.0;1.0;EMEA;Windows
id_25511;1.0;1.0;America;Mac
id_25555;1.0;1.0;America;Windows
id_25566;1.0;1.0;ROW;Windows
id_25579;1.0;1.0;ROW;Windows
id_25626;1.0;1.0;EMEA;Unknown
id_25679;1.0;1.0;ROW;Windows
id_25731;1.0;1.0;ROW;Unknown
